timestamp,z
1759998185.7297435,-0.045
1759998185.7297435,0.832
1759998185.7297435,0.742
1759998185.7297435,0.144
1759998185.7792048,-0.045
1759998185.7792048,0.851
1759998185.7792048,0.757
1759998185.7792048,0.192
1759998185.8290763,-0.045
1759998185.8290763,0.835
1759998185.8290763,0.756
1759998185.8290763,0.221
1759998185.8788366,-0.04
1759998185.8788366,0.851
1759998185.8788366,0.793
1759998185.8788366,0.182
1759998185.9289305,-0.044
1759998185.9289305,0.85
1759998185.9289305,0.776
1759998185.9289305,0.192
1759998185.979141,-0.045
1759998185.979141,0.844
1759998185.979141,0.749
1759998185.979141,0.194
1759998186.028737,-0.044
1759998186.028737,0.837
1759998186.028737,0.767
1759998186.028737,0.181
1759998186.0785487,-0.046
1759998186.0785487,0.841
1759998186.0785487,0.767
1759998186.0785487,0.222
1759998186.1293123,-0.045
1759998186.1293123,0.834
1759998186.1293123,0.762
1759998186.1293123,0.22
1759998186.1808596,-0.04
1759998186.1808596,0.845
1759998186.1808596,0.78
1759998186.1808596,0.19
1759998186.2303498,-0.044
1759998186.2303498,0.855
1759998186.2303498,0.787
1759998186.2303498,0.237
1759998186.2797477,-0.041
1759998186.2797477,0.843
1759998186.2797477,0.766
1759998186.2797477,0.188
1759998186.3291543,-0.039
1759998186.3291543,0.854
1759998186.3291543,0.776
1759998186.3291543,0.133
1759998186.37923,-0.041
1759998186.37923,0.862
1759998186.37923,0.788
1759998186.37923,0.158
1759998186.4291632,-0.04
1759998186.4291632,0.843
1759998186.4291632,0.778
1759998186.4291632,0.195
1759998186.4790812,-0.043
1759998186.4790812,0.831
1759998186.4790812,0.754
1759998186.4790812,0.184
1759998186.5288105,-0.039
1759998186.5288105,0.842
1759998186.5288105,0.764
1759998186.5288105,0.175
1759998186.5788996,-0.038
1759998186.5788996,0.853
1759998186.5788996,0.78
1759998186.5788996,0.167
1759998186.6290197,-0.039
1759998186.6290197,0.853
1759998186.6290197,0.783
1759998186.6290197,0.194
1759998186.678913,-0.042
1759998186.678913,0.855
1759998186.678913,0.784
1759998186.678913,0.256
1759998186.7290483,-0.044
1759998186.7290483,0.847
1759998186.7290483,0.779
1759998186.7290483,0.15
1759998186.7796886,-0.043
1759998186.7796886,0.855
1759998186.7796886,0.776
1759998186.7796886,0.165
1759998186.8291857,-0.045
1759998186.8291857,0.856
1759998186.8291857,0.783
1759998186.8291857,0.163
1759998186.8789558,-0.046
1759998186.8789558,0.864
1759998186.8789558,0.8
1759998186.8789558,0.211
1759998186.929142,-0.042
1759998186.929142,0.842
1759998186.929142,0.77
1759998186.929142,0.145
1759998186.9790294,-0.036
1759998186.9790294,0.842
1759998186.9790294,0.767
1759998186.9790294,0.16
1759998187.0287237,-0.042
1759998187.0287237,0.843
1759998187.0287237,0.767
1759998187.0287237,0.181
1759998187.0785418,-0.046
1759998187.0785418,0.849
1759998187.0785418,0.767
1759998187.0785418,0.188
1759998187.1290362,-0.046
1759998187.1290362,0.836
1759998187.1290362,0.755
1759998187.1290362,0.145
1759998187.1799052,-0.047
