elapsed_seconds,cpuTemp,cpuTime
0.000098,43.3,116689056.0
1.008831,43.4,117689136.0
2.017618,43.0,118688808.0
3.027321,43.2,119689656.0
4.036548,43.0,120740096.0
5.051758,43.0,121739904.0
6.059852,43.3,122739280.0
7.067879,43.6,123740240.0
8.077053,43.5,124739840.0
9.086630,43.4,125789504.0
10.100069,43.5,126790040.0
11.108972,43.2,127789232.0
12.116501,43.8,128789472.0
13.124613,43.1,129789024.0
14.134419,43.8,130839552.0
15.147896,43.7,131839624.0
16.156866,43.4,132839232.0
17.165603,43.5,133839944.0
18.173004,43.3,134838976.0
19.182606,43.4,135889824.0
20.196147,43.4,136889472.0
21.206459,43.1,137889520.0
22.214345,43.1,138889504.0
23.223394,44.0,139889504.0
24.234154,43.5,140938656.0
25.246674,43.3,141938672.0
26.256295,43.3,142938240.0
27.264232,43.8,143938928.0
28.271678,43.4,144938464.0
29.281856,43.5,145988752.0
30.294428,43.2,146988432.0
31.303188,43.2,147988624.0
32.310153,43.7,148988608.0
33.316949,43.7,149989008.0
34.323610,43.5,150988944.0
35.334201,43.9,152039008.0
36.348982,43.9,153039152.0
37.357620,43.3,154039104.0
38.366203,43.3,155039072.0
39.374618,44.0,156039584.0
40.385706,43.3,157088384.0
41.400671,43.4,158088736.0
42.409427,43.4,159088496.0
43.418302,43.4,160088512.0
44.433464,43.1,161138432.0
45.447896,43.5,162138400.0
46.456601,43.7,163138432.0
47.464594,43.7,164138528.0
48.472417,43.9,165138464.0
49.482722,43.3,166188688.0
50.496606,43.5,167188032.0
51.506519,43.3,168189024.0
52.515370,43.2,169189136.0
53.523589,43.5,170188992.0
54.534011,43.5,171239216.0
55.548973,43.8,172239088.0
56.557504,43.6,173238976.0
57.565726,43.3,174238864.0
58.574640,43.8,175238816.0
59.584627,43.8,176289024.0
60.598853,43.8,177288912.0
61.607841,43.3,178288416.0
62.617085,43.7,179287984.0
63.625328,43.8,180288544.0
64.634950,43.9,181339280.0
65.649662,44.0,182338272.0
66.658070,43.9,183338112.0
67.665699,44.3,184338480.0
68.674524,43.8,185338576.0
69.684654,44.2,186388912.0
70.698881,43.7,187388816.0
71.708315,44.0,188388384.0
72.718283,43.5,189388592.0
73.728074,43.6,190388208.0
74.737214,43.8,191438512.0
75.749951,43.7,192438848.0
76.757922,44.0,193438624.0
77.765732,44.2,194438224.0
78.772621,44.0,195438064.0
79.782915,43.8,196487856.0
80.795615,44.0,197487712.0
81.805516,43.8,198488592.0
82.812976,44.2,199488480.0
83.820626,44.3,200488832.0
84.832000,43.9,201538736.0
85.844608,43.5,202539024.0
86.853598,43.8,203538864.0
87.859617,43.4,204539232.0
88.869771,44.1,205538480.0
89.880678,44.3,206539024.0
90.894706,43.5,207588272.0
91.902591,44.2,208588768.0
