elapsed_seconds,cpuTemp,cpuTime
0.000094,41.7,72462016.0
1.008798,41.8,73461984.0
2.017404,41.8,74462728.0
3.026210,42.0,75461544.0
4.037441,41.9,76511408.0
5.052108,41.8,77511744.0
6.060442,42.2,78512528.0
7.068878,42.2,79511936.0
8.077492,41.9,80512048.0
9.087827,42.1,81562040.0
10.101766,41.8,82561784.0
11.110112,42.2,83562192.0
12.118505,42.3,84562232.0
13.126332,42.1,86611672.0
15.149666,42.1,87611408.0
16.157810,42.4,88611552.0
17.165735,42.3,89612224.0
18.174350,42.0,90611888.0
19.186767,42.4,91663704.0
20.202811,42.4,92661776.0
21.211296,42.1,93662152.0
22.220414,42.2,94662240.0
23.232064,42.2,95661592.0
24.242794,42.3,96711264.0
25.253816,42.1,97712136.0
26.261938,42.3,98711528.0
27.269653,42.5,99711512.0
28.279584,42.2,100711200.0
29.291668,42.7,101761800.0
30.303181,42.1,102761624.0
31.311682,42.7,103761360.0
32.319590,41.8,104761632.0
33.329271,42.3,105762080.0
34.338843,42.2,106810808.0
35.352079,42.5,107810856.0
36.361320,42.0,108811088.0
37.368729,42.5,109811608.0
38.377008,42.3,110811776.0
39.388447,42.3,111861648.0
40.402430,42.5,112862440.0
41.411229,42.5,113861824.0
42.420455,42.3,114860872.0
43.431602,42.8,115862152.0
44.441976,42.5,116911024.0
45.451923,42.5,117911072.0
46.460656,42.3,118911536.0
47.468053,42.3,119910912.0
48.475682,43.0,120911720.0
49.487544,42.6,121961536.0
50.502178,42.3,122961176.0
51.510573,42.7,123961360.0
52.519886,42.2,124960888.0
53.529999,42.5,125961544.0
54.546452,42.2,127011024.0
55.556396,42.5,128010712.0
56.564307,42.5,129011664.0
57.572519,43.0,130010800.0
58.581686,42.5,131011536.0
59.596998,42.8,132061464.0
60.608175,42.4,133061792.0
61.616297,42.8,134061688.0
62.624971,42.7,135061184.0
63.637399,42.4,136110656.0
64.651613,42.4,137111488.0
65.660512,42.3,138111216.0
66.669605,42.8,139110832.0
67.679445,42.8,140110640.0
68.689243,42.6,141160752.0
69.703329,42.7,142161152.0
70.711373,42.5,143161408.0
71.719248,42.7,144161008.0
72.727397,42.6,145161120.0
73.738289,42.8,146211328.0
74.751665,42.9,147210560.0
75.758678,42.8,148212016.0
76.767692,42.7,149211872.0
77.776039,42.8,150210576.0
78.786691,42.8,151260768.0
79.801659,42.7,152260816.0
80.809473,42.6,153260800.0
81.816752,42.7,154260768.0
82.825477,42.6,155260896.0
83.836620,43.3,156311152.0
84.851671,43.0,157311088.0
85.858692,42.8,158310752.0
86.865648,42.9,159310928.0
87.872650,42.8,160310928.0
88.882654,42.8,161310752.0
89.896683,42.5,162360720.0
90.906647,42.7,163360800.0
91.912672,42.8,164361024.0
92.919653,43.0,165361440.0
93.926520,42.9,166361664.0
94.937505,42.9,167411248.0
95.952646,43.0,168410784.0
96.959662,43.0,169411632.0
97.966574,42.8,170411136.0
98.975058,42.8,171411072.0
99.986665,43.0,172460688.0
101.000645,42.9,173460624.0
102.009726,43.1,174460464.0
103.018071,42.8,175461040.0
104.026673,42.8,176460832.0
105.037653,43.0,177510784.0
106.050683,42.8,178511088.0
107.059653,43.0,179510880.0
108.067282,42.8,180510816.0
109.076766,43.0,181511024.0
110.086681,43.3,182561120.0
111.101210,42.8,183560016.0
112.111195,42.8,184561440.0
113.120239,43.0,185560560.0
114.132660,42.6,186610720.0
115.149236,43.5,187610848.0
116.157649,43.0,188611136.0
117.164412,43.3,189611104.0
118.172619,43.1,190610960.0
119.183348,43.1,191660640.0
120.196887,43.5,192660768.0
121.207876,43.0,193660848.0
122.214683,43.3,194660752.0
123.222185,42.8,195660912.0
124.232952,43.0,196710928.0
125.247670,43.2,197710544.0
126.256648,43.3,198710624.0
127.263616,43.5,199710768.0
128.272362,43.3,200710736.0
129.283307,43.0,201761184.0
130.298590,43.3,202760544.0
131.308229,43.0,203759888.0
132.316489,43.1,204761088.0
133.324734,43.2,205761488.0
134.335640,43.5,206810256.0
135.348301,43.3,207809888.0
136.357645,43.1,208809968.0
137.364679,43.5,209810640.0
138.372661,43.2,210810704.0
139.384691,43.3,211860640.0
140.398621,43.0,212861264.0
141.408055,42.9,213860784.0
142.415052,43.5,214861008.0
143.421662,43.7,215860176.0
144.432411,43.3,216861008.0
145.442663,43.0,217911152.0
146.453677,43.4,218910016.0
147.461490,43.5,219909840.0
148.469540,43.3,220909824.0
149.478612,43.4,221910272.0
150.488852,43.2,222960624.0
151.502894,43.0,223961056.0
152.512188,43.5,224960736.0
153.520710,43.2,225960896.0
154.530061,43.3,226960208.0
155.540593,43.4,228010256.0
156.553562,43.5,229010640.0
157.561650,43.7,230009488.0
158.569333,43.0,231309808.0
159.868645,43.5,232309872.0
160.875978,43.4,233310496.0
161.886647,43.3,234361072.0
162.900142,43.5,235361632.0
163.909234,44.0,236360752.0
164.918918,43.5,237361792.0
165.930963,43.4,238359760.0
166.942307,43.2,239409696.0
167.953249,43.4,240411168.0
168.961234,43.5,241409504.0
169.970762,43.5,242409552.0
170.983063,43.7,243411568.0
171.997712,43.8,244459616.0
173.007047,43.5,245459472.0
174.014999,43.8,246460736.0
175.022658,43.5,247460000.0
176.033578,43.7,248510272.0
177.048004,43.5,249510448.0
178.058112,43.3,250509616.0
179.065654,43.8,251510160.0
180.072715,43.7,252510576.0
181.084225,43.4,253559392.0
182.097650,43.4,254560480.0
183.107982,43.7,255559520.0
184.115257,43.4,256559408.0
185.122643,43.7,257560112.0
186.134270,43.3,258610112.0
187.149180,43.5,259611440.0
188.158423,43.3,260609952.0
189.166199,43.3,261609840.0
190.173805,43.7,262610528.0
191.183573,43.4,263659600.0
192.197650,43.8,264660496.0
193.208202,43.5,265661760.0
194.216266,43.5,266659552.0
195.224820,43.4,267659648.0
196.236764,43.8,268709152.0
197.250653,43.5,269709856.0
198.259377,43.4,270709984.0
199.267506,43.7,271709568.0
200.276647,43.8,272709728.0
201.287113,44.0,273759936.0
202.301677,43.5,274759488.0
203.310266,43.7,275760864.0
204.318719,43.8,276759808.0
205.327539,43.8,277758720.0
206.338989,44.0,278809408.0
207.352668,44.2,279809568.0
208.362227,43.7,280808768.0
209.370668,43.8,281809632.0
210.379593,44.0,282809760.0
211.389182,44.1,283859488.0
212.403100,44.0,284859488.0
213.411795,44.0,285859648.0
214.424753,43.9,286859456.0
215.437699,44.0,287909216.0
216.453240,43.7,288909504.0
217.462147,43.7,289908864.0
218.470967,43.6,290908800.0
219.482227,43.7,291908608.0
220.497193,44.1,292958880.0
221.506734,43.7,293958656.0
222.514694,44.0,294959104.0
223.521692,43.9,295959424.0
224.531411,43.8,296959232.0
225.542010,43.7,298009504.0
226.553744,43.7,299009536.0
227.560652,44.1,300009088.0
228.568282,44.2,301009408.0
229.576661,43.7,302009376.0
230.587302,44.0,303058400.0
231.601535,43.7,304058496.0
232.610406,44.3,305059200.0
233.618040,43.7,306058720.0
234.626662,44.0,307058432.0
235.637120,43.9,308109504.0
236.651794,43.7,309109568.0
237.660884,43.8,310109152.0
238.668296,44.0,311109536.0
239.676254,43.8,312108576.0
240.686459,43.9,313159168.0
241.698669,44.1,314159008.0
242.707648,44.0,315158528.0
243.713697,43.9,316158400.0
244.721958,44.1,317158400.0
245.732414,43.8,318208544.0
246.746669,44.0,319208192.0
247.755582,44.2,320209152.0
248.762684,44.0,321208992.0
249.769645,44.2,322208800.0
250.776659,43.8,323208832.0
251.787646,44.2,324258848.0
252.801295,43.9,325309152.0
253.871480,44.0,326308864.0
254.882080,44.2,327309056.0
255.891681,44.0,328358400.0
256.902211,44.2,329358592.0
257.910684,43.7,330358400.0
258.918737,43.8,331358368.0
259.927934,44.0,332358752.0
