elapsed_seconds,cpuTemp,cpuTime
0.000093,28.6,93683408.0
1.008551,28.2,94683328.0
2.017531,28.5,95733472.0
3.028229,28.4,96733480.0
4.036378,28.6,98183416.0
5.480656,28.5,99183120.0
6.488940,28.5,100183576.0
7.496119,28.5,102183144.0
9.496851,28.7,103183336.0
10.504919,28.6,104184024.0
11.514357,28.6,106033584.0
13.363116,28.7,107083592.0
14.377555,28.6,108083464.0
15.385523,28.7,109083112.0
16.393684,28.6,110083360.0
17.400370,28.2,111083552.0
18.408528,28.7,112083352.0
19.416455,28.5,113133080.0
20.427064,28.7,114133312.0
21.435852,28.3,115133472.0
22.444640,28.7,116133984.0
23.451950,28.8,117133560.0
24.460540,28.8,118183344.0
25.473811,29.0,119183120.0
26.483265,28.5,120183520.0
27.490737,28.8,121183064.0
28.496523,29.0,122182944.0
29.503408,28.9,123183048.0
30.512333,28.7,124233424.0
31.525828,28.9,125233376.0
32.535324,28.6,126233176.0
33.543534,28.8,127233048.0
34.550837,29.0,128232792.0
35.560533,28.9,129283304.0
36.572517,29.1,130283320.0
37.581668,29.0,131283056.0
38.589823,29.3,132283040.0
39.596970,29.0,133283064.0
40.605282,29.0,134282864.0
41.614345,28.9,135333696.0
42.628286,28.9,136333328.0
43.636234,29.0,137333152.0
44.644145,28.9,138333424.0
45.651239,28.9,139332640.0
46.661286,29.1,140383472.0
47.674845,,
53.684513,29.0,148433360.0
55.723101,29.3,149433120.0
56.732621,29.4,150433024.0
57.740315,29.4,151432752.0
58.747071,29.3,152433072.0
59.755602,29.2,153433184.0
60.764450,29.3,154482960.0
61.776506,29.3,155482864.0
62.784551,29.0,156482864.0
63.793237,29.3,157482784.0
64.800910,29.5,158482736.0
65.810858,29.4,159533536.0
66.824987,29.2,160532464.0
67.833531,29.5,161532928.0
68.841350,29.2,162533184.0
69.849823,29.4,163533792.0
70.859830,29.3,164582976.0
71.873033,29.4,165582944.0
72.882162,29.4,166582848.0
73.889915,29.7,167582640.0
74.895851,29.7,168583024.0
75.903745,29.5,169583440.0
76.912760,29.7,170633136.0
77.925558,29.4,171632480.0
78.934148,29.8,172632592.0
79.941095,29.5,173632128.0
80.948452,29.8,174632736.0
81.957542,29.8,175632784.0
82.965869,29.7,176682448.0
83.975517,29.8,177682976.0
84.984021,29.7,178682368.0
85.992602,29.7,179682608.0
86.998523,29.7,180682400.0
88.007749,29.6,181732688.0
89.020730,29.7,182732848.0
90.029508,29.7,183732928.0
91.036985,29.9,184732704.0
92.044518,29.9,185732928.0
93.051348,29.3,186732400.0
94.060690,29.9,187782576.0
95.073866,29.6,188782544.0
96.083838,29.7,189782592.0
97.091536,29.7,190782448.0
98.098581,29.8,191782768.0
99.108613,29.7,192833008.0
100.122073,29.9,193832544.0
101.131543,29.7,194832864.0
102.139589,29.7,195832704.0
103.147576,29.7,196832880.0
104.156536,29.9,197833120.0
105.169127,29.9,198882624.0
106.178439,29.9,199882448.0
107.187640,30.1,200882720.0
108.195200,29.8,201882592.0
109.203662,30.1,202882112.0
110.212518,30.1,203931840.0
111.224644,29.8,204932320.0
112.233666,29.8,205932848.0
113.242541,30.0,206932784.0
114.250311,30.3,207932896.0
115.260305,,
121.266092,,
127.274482,30.5,224082512.0
131.371906,30.3,225082480.0
132.380534,29.9,226082368.0
133.388525,30.3,227082320.0
134.394555,30.7,228081728.0
135.402890,30.4,229082160.0
136.412282,30.7,230132176.0
137.423552,30.1,231132704.0
138.431677,30.5,232132160.0
139.439805,30.5,233132784.0
140.448514,30.5,234131872.0
141.458524,30.9,235181840.0
142.469543,30.9,236182480.0
143.477536,30.6,237182048.0
144.484524,30.7,238182768.0
145.492237,30.4,239181840.0
146.499521,30.8,240181488.0
147.507516,31.1,241182768.0
148.519518,30.7,242232144.0
149.528532,30.4,243232336.0
150.535072,31.0,244231920.0
151.542572,30.8,245231872.0
152.550281,30.9,246232048.0
153.559994,31.0,247282176.0
154.573275,30.8,248281520.0
155.582152,30.9,249281760.0
156.589993,30.5,250281456.0
157.597927,30.9,251282304.0
158.607915,30.5,252331440.0
159.620670,30.9,253331856.0
160.629518,30.9,254331328.0
161.635518,30.8,255331792.0
162.641520,30.8,256331888.0
163.648300,30.9,257331856.0
164.657939,31.0,258382304.0
165.671037,30.9,259381632.0
166.680279,30.8,260381696.0
167.688675,31.0,261382016.0
168.697098,30.7,262381600.0
169.706553,31.0,263432000.0
170.719569,31.0,264431712.0
171.730293,30.7,265431616.0
172.737977,30.8,266431856.0
173.745555,31.0,267431568.0
174.755450,30.9,268481824.0
175.767548,31.1,269481728.0
176.776539,30.7,270481504.0
177.783418,31.2,271481760.0
178.790155,30.8,272481696.0
179.797230,31.4,273481664.0
180.808204,30.9,274531776.0
181.821399,31.1,275531776.0
182.829533,31.3,276531744.0
183.838366,31.0,277531456.0
184.845716,31.3,278531456.0
185.855338,31.2,279531616.0
186.868332,31.3,280581344.0
187.878066,31.1,281581792.0
188.886560,31.3,282581312.0
189.893452,31.0,283581152.0
190.902514,31.4,284581312.0
191.910520,31.4,285631552.0
192.922514,31.1,286631776.0
193.931342,31.5,287631488.0
194.938283,31.5,288631552.0
195.945774,31.1,289631328.0
196.954802,31.4,290631136.0
197.967523,31.5,291681824.0
198.976929,31.7,292681216.0
199.984151,31.5,293681568.0
200.991531,31.1,294681408.0
201.998772,31.2,295681088.0
203.008832,31.5,296731360.0
204.021598,31.3,297731712.0
205.031427,31.5,298731840.0
206.039487,31.5,299731648.0
207.046747,31.7,300731360.0
208.055517,32.0,301731424.0
209.064708,31.7,302780992.0
210.074747,31.8,303780800.0
211.082488,31.3,304781344.0
212.090062,31.5,305781088.0
213.098472,31.5,306781152.0
214.107946,31.0,307831360.0
215.119567,31.6,308831136.0
216.129820,31.5,309831520.0
217.138203,31.7,310831168.0
218.145936,31.9,311831360.0
219.156112,31.3,312881280.0
220.168527,31.9,313882176.0
221.177515,31.5,314881088.0
222.184151,31.9,315880896.0
223.191421,31.8,316881120.0
224.199520,32.0,317880544.0
225.207570,31.9,318931712.0
226.219571,31.6,320931296.0
228.263074,32.2,321981632.0
229.273646,31.6,322981152.0
230.282472,32.5,323982080.0
231.290531,32.0,324981408.0
232.297622,31.9,325981536.0
233.307485,31.7,327030848.0
234.319903,31.8,328031168.0
235.329572,31.5,329031008.0
236.337183,31.6,330031328.0
237.344358,31.7,331031328.0
238.353347,32.0,332031904.0
239.362664,32.0,333081344.0
240.373785,32.0,334081184.0
241.382402,32.0,335081536.0
242.389939,31.8,336080864.0
243.396540,32.0,337081664.0
244.406148,32.8,338131712.0
245.418681,31.8,339131072.0
246.428639,31.6,340130944.0
247.436545,32.1,341131200.0
248.443774,32.0,342130912.0
249.453298,32.2,343131040.0
250.466246,32.6,344180768.0
251.476661,32.1,345181408.0
252.484585,32.3,346180672.0
253.491483,32.3,347181408.0
254.499436,32.5,348181184.0
255.509554,32.3,349230944.0
256.522677,32.2,350230912.0
257.531415,31.5,351230688.0
258.539387,32.2,352230944.0
259.547061,32.3,353231392.0
260.557238,32.1,354280896.0
261.570112,32.0,355281312.0
262.579630,32.2,356281472.0
263.587265,32.2,357280576.0
264.594538,32.8,358280544.0
265.604201,32.6,359331328.0
266.617950,32.4,360330496.0
267.627780,32.2,361330912.0
268.634958,32.3,362330880.0
269.642363,32.2,363330976.0
270.651768,32.5,364330784.0
271.661561,32.6,365380768.0
272.672214,32.0,366380032.0
273.680739,32.5,367380736.0
274.688441,32.9,368380704.0
275.695708,32.5,369380480.0
276.706321,32.8,370431072.0
277.718868,32.3,371431072.0
278.727542,32.3,372430944.0
279.734585,32.5,373430496.0
280.740526,33.2,374430848.0
281.747538,32.9,375430496.0
282.756538,32.5,376480480.0
283.768040,33.0,377480384.0
284.776524,32.3,378480640.0
285.782514,32.8,379480832.0
286.788510,33.0,380480768.0
287.795211,32.3,381480672.0
288.804338,32.9,382530208.0
289.817366,32.7,383530976.0
290.827371,33.1,384530752.0
291.833963,32.7,385531200.0
292.841804,32.8,386530336.0
293.849803,32.8,387530400.0
294.858986,33.0,388580384.0
295.871851,33.4,389580512.0
296.880616,33.1,390580544.0
297.888800,32.9,391580320.0
298.896528,33.0,392580320.0
299.906148,33.0,393631200.0
300.918782,32.5,394630496.0
301.927587,32.8,395630336.0
302.934679,32.7,396630400.0
303.941765,33.2,397630560.0
304.950208,33.0,398630784.0
305.959246,33.1,399680352.0
306.971097,33.1,400680032.0
307.979996,33.1,401680320.0
308.987974,33.1,402680384.0
309.995454,33.2,403680512.0
311.005434,33.0,404730752.0
312.018879,33.2,405730304.0
313.029366,33.3,406730432.0
314.037296,33.2,407730208.0
315.045215,33.2,408730048.0
316.055062,33.2,409780576.0
317.067668,33.1,410780576.0
318.077843,33.2,411780800.0
319.085745,33.0,412780352.0
320.093418,33.0,413780096.0
321.102136,33.2,414780576.0
322.110617,33.3,415830144.0
323.120869,33.2,416830720.0
324.129825,33.3,417830048.0
325.136804,33.2,418830048.0
326.143599,33.4,419830624.0
327.152722,33.5,420830112.0
328.165423,33.4,421880480.0
329.174552,33.2,422880096.0
330.180705,33.2,423880064.0
331.188219,33.4,424880128.0
332.196770,33.0,425880640.0
333.206018,33.5,426930432.0
334.218565,33.2,428930144.0
336.232528,33.3,429930496.0
337.238525,33.4,430930592.0
338.245550,33.2,431929856.0
339.255571,33.6,432980736.0
340.269114,33.2,433980448.0
341.278841,33.2,434980416.0
342.286549,33.3,435980640.0
