elapsed_seconds,cpuTemp,cpuTime
0.000090,36.8,164201696.0
1.013727,36.9,165201232.0
2.022183,36.9,166201168.0
3.030121,37.0,167201264.0
4.040121,37.1,168201840.0
5.048436,36.8,169251696.0
6.061785,36.9,170251232.0
7.069860,36.9,171251184.0
8.077780,37.0,172251056.0
9.087073,36.8,173251552.0
10.096410,36.9,174302256.0
11.110645,36.8,175301200.0
12.119713,37.1,176301504.0
13.126664,36.9,177301008.0
14.132391,37.0,178301744.0
15.142539,37.0,179301168.0
16.152076,37.0,180351168.0
17.163316,36.9,181352480.0
18.171395,37.0,182351136.0
19.178456,37.0,183350672.0
20.187761,36.9,184350992.0
21.196223,37.1,185401040.0
22.209391,37.2,186400992.0
23.218205,37.1,187400784.0
24.225895,37.4,188400640.0
25.232430,36.9,189400768.0
26.241871,37.2,190400656.0
27.252272,37.2,191451168.0
28.263046,37.2,192451824.0
29.271071,37.1,193451168.0
30.278534,37.0,194450720.0
31.287698,37.2,195450512.0
32.296465,37.2,196500992.0
33.310514,37.2,197500880.0
34.319225,36.9,198500192.0
35.326825,37.1,199501216.0
36.334016,37.1,200499728.0
37.342390,37.4,201500704.0
38.351079,37.3,202551520.0
39.362751,37.3,203551424.0
40.370658,37.6,204550736.0
41.378038,37.7,205550080.0
42.386691,37.4,206550608.0
43.396090,37.4,207600784.0
44.410440,37.3,208600672.0
45.420132,37.3,209600576.0
46.427405,37.4,210600240.0
47.433394,37.7,211600800.0
48.442415,37.2,212601024.0
49.452022,37.4,213650960.0
50.462995,37.4,214650768.0
51.471612,37.4,215650208.0
52.479604,37.4,216650192.0
53.490042,37.5,217650400.0
54.498557,37.5,218700640.0
55.512294,37.5,219700992.0
56.520952,37.6,220700528.0
57.528677,37.6,221700576.0
58.537783,37.2,222701264.0
59.546920,37.2,223750432.0
60.560715,37.4,224749648.0
61.570432,37.4,225749168.0
62.578503,37.5,226748912.0
63.588296,37.2,227749168.0
64.597593,37.9,228800912.0
65.611392,37.6,229801120.0
66.618422,37.6,230801552.0
67.626027,37.6,231801040.0
68.633211,37.8,232801232.0
69.642591,37.7,233801072.0
70.653576,37.7,234850480.0
71.665304,37.6,235849824.0
72.673002,37.5,236849760.0
73.680476,37.6,237849408.0
74.690514,37.7,238850704.0
75.699447,37.9,239901152.0
76.712591,37.6,240900672.0
77.720581,37.8,241899824.0
78.727768,37.5,242900576.0
79.736413,37.8,243899712.0
80.745019,37.9,244950656.0
81.759052,37.6,245949392.0
82.768321,37.5,246950976.0
83.776452,37.8,247949696.0
84.783903,37.7,248949696.0
85.793608,37.9,250000240.0
86.808048,37.7,250999216.0
87.817831,38.0,251999568.0
88.825789,38.0,252999472.0
89.832409,38.1,253999424.0
90.842327,37.9,255050032.0
91.855775,37.7,256049824.0
92.865943,37.9,257050832.0
93.874148,37.5,258049632.0
94.880785,38.0,259049664.0
95.891763,37.9,260099472.0
96.906839,37.8,261099552.0
97.916458,38.1,262099136.0
98.924231,37.9,263099232.0
99.931415,38.0,264099440.0
100.941294,38.1,265149552.0
101.954618,38.0,266149520.0
102.964691,38.1,267149440.0
103.972414,38.0,268149600.0
104.980414,38.0,269149472.0
105.989920,38.1,270149184.0
106.998410,38.2,271199392.0
108.010865,37.9,272200512.0
109.019797,38.1,273200544.0
110.027579,38.6,274202112.0
111.037344,38.4,275202560.0
112.046213,38.5,276251872.0
113.059509,38.1,277250080.0
114.068124,38.3,278250112.0
115.075862,38.4,279251552.0
116.083936,38.3,280251232.0
117.093728,38.4,281301632.0
118.108243,38.2,282299392.0
119.117173,38.4,283298976.0
120.125101,38.3,284301568.0
121.132652,38.2,285301088.0
122.143570,38.2,286350688.0
123.157652,38.4,287351648.0
124.166410,38.3,288351072.0
125.174199,38.5,289350624.0
126.181340,38.4,290351232.0
127.191632,38.5,291399232.0
128.206403,38.2,292400192.0
129.216355,38.6,293402368.0
130.222990,38.6,294401824.0
131.230347,38.2,295399136.0
132.240447,38.1,296400864.0
133.250146,38.2,297451904.0
134.262634,38.6,298451552.0
135.271036,38.5,299451072.0
136.278698,,
142.281831,,
148.290176,38.7,315601184.0
152.412424,38.7,316601088.0
153.419426,38.8,317600896.0
154.426573,38.7,318601600.0
155.435408,38.6,319601216.0
156.444422,38.6,320651840.0
157.457272,38.6,321651616.0
158.466392,38.7,322651488.0
159.472421,39.0,323650496.0
160.479392,38.8,324649376.0
161.489056,38.8,325651552.0
162.498572,38.7,326701568.0
163.511965,38.7,327700384.0
164.519694,38.7,328701376.0
165.528000,38.8,329701408.0
166.537414,38.8,330700704.0
167.546327,38.8,331751072.0
168.560254,38.7,332751552.0
169.569159,39.2,333749920.0
170.576157,38.8,334751008.0
171.583485,38.7,335751136.0
172.592900,38.6,336800576.0
173.607052,38.9,337800416.0
174.617312,38.6,338799776.0
