elapsed_seconds,cpuTemp,cpuTime
0.000105,,
6.008326,57.9,22460934.0
9.100246,57.9,23461396.0
10.108362,57.4,24461688.0
11.116427,57.8,25462624.0
12.124051,58.0,26461240.0
13.133397,57.7,27511164.0
14.146633,57.7,28511400.0
15.156399,57.6,29511472.0
16.164422,57.9,30511654.0
17.172671,57.9,31510922.0
18.182755,58.0,32561092.0
19.196454,57.7,33561380.0
20.205560,57.7,34561444.0
21.214192,58.0,35561196.0
22.223059,58.0,36561264.0
23.234142,58.0,37611476.0
24.249010,58.0,38611244.0
25.258332,57.7,39611504.0
26.266663,57.8,40611120.0
27.275687,58.0,41611420.0
28.284409,57.9,42661628.0
29.296942,57.8,43661148.0
30.306542,57.9,44660640.0
31.313411,58.0,45661608.0
32.320855,58.0,46661132.0
33.330320,57.7,47661164.0
34.339522,57.9,48710864.0
35.351493,58.2,49710960.0
36.359986,57.8,50710900.0
37.368220,58.0,51710916.0
38.376833,57.8,52710588.0
39.386530,57.9,53761268.0
40.400417,57.7,54761220.0
41.409556,58.1,55760532.0
42.417660,58.1,56760984.0
43.425108,57.9,57760820.0
44.436431,57.6,58811192.0
45.451042,57.9,59810992.0
46.460439,57.8,60811448.0
47.469343,58.0,61810816.0
48.479303,58.0,62810096.0
49.488560,57.7,63860048.0
50.499451,58.0,64860012.0
51.508516,57.8,65859772.0
52.514409,57.9,66859864.0
53.521418,57.9,67860456.0
54.529748,58.1,68859968.0
55.539405,57.7,69910384.0
56.551141,57.8,70910232.0
57.559724,57.8,71909952.0
58.568175,58.0,72911088.0
59.577351,58.1,73911432.0
60.588133,57.8,74961208.0
61.603439,57.8,75960816.0
62.612359,57.6,76961032.0
63.620420,57.8,77960944.0
64.628589,57.9,78961160.0
65.639468,57.7,80011552.0
66.653878,57.8,81010864.0
67.662648,57.7,82010936.0
68.671352,57.9,83010648.0
69.680317,57.8,84011048.0
70.690162,57.8,85060664.0
71.705252,57.4,86060472.0
72.713667,57.8,87060376.0
73.722531,57.9,88060696.0
74.731403,57.7,89060136.0
75.740419,57.9,90110400.0
76.754406,58.0,91110392.0
77.762454,57.9,92110104.0
78.771166,57.7,93110368.0
79.780881,57.9,94109640.0
80.790107,58.1,95160112.0
81.804220,57.8,96160400.0
82.813051,57.8,97160760.0
83.820880,57.3,98160592.0
84.830056,57.7,99160784.0
85.841131,57.7,100210768.0
86.855532,57.9,101210656.0
87.863874,57.8,102210792.0
88.871998,57.6,103210912.0
89.881192,57.8,104210832.0
90.891033,57.9,105260896.0
91.904448,57.6,106261184.0
92.913645,57.8,107260624.0
93.921435,57.6,108259856.0
94.930872,58.0,109261032.0
95.942320,58.0,110310944.0
96.955439,57.7,111310536.0
97.963777,57.7,112310640.0
98.971650,57.8,113311136.0
99.981065,57.6,114311232.0
100.991583,57.7,115361128.0
102.006360,57.6,116360704.0
103.014872,57.7,117360928.0
104.022415,57.6,118359976.0
105.032477,57.7,119359856.0
106.042501,57.6,120411016.0
107.056535,57.7,121410776.0
108.065328,57.5,122410464.0
109.073503,57.6,123410280.0
