elapsed_seconds,cpuTemp,cpuTime
0.000178,52.9,3896816384.0
1.010762,52.7,3897866496.0
2.024769,52.7,3898866176.0
3.033762,53.1,3899866368.0
4.041802,52.9,3900866560.0
5.050603,52.6,3901866496.0
6.061656,53.0,3902916608.0
7.075605,52.8,3903916544.0
8.086279,52.7,3904916224.0
9.094751,52.9,3905916416.0
0.000079,47.7,40083176.0
1.008956,47.6,41082992.0
2.018620,47.9,42132488.0
3.032486,47.9,43132376.0
4.041161,48.1,44132584.0
5.050299,47.8,45132412.0
6.059273,48.1,46132368.0
7.069847,48.1,47182200.0
8.082955,48.0,48182488.0
9.091274,48.1,49182476.0
0.000198,44.5,27710972.0
1.010482,44.7,28711200.0
2.019062,44.5,29711112.0
3.030047,44.7,31160962.0
4.484205,44.7,32211528.0
5.500212,45.0,33211464.0
6.507211,44.8,34211696.0
7.515821,44.5,35211520.0
8.527089,44.9,36261636.0
9.565213,44.5,37260744.0
0.000079,40.8,18104380.0
1.017240,41.1,19153998.0
2.028010,41.2,20154108.0
3.036438,41.2,21154406.0
4.044430,41.3,22154520.0
5.055423,41.3,23204256.0
6.070487,41.2,24204030.0
7.079491,41.4,25203994.0
8.087430,41.7,26204668.0
9.095819,41.5,27204170.0
0.000078,35.4,25090034.0
1.012190,35.8,26089936.0
2.019980,35.6,27089706.0
3.028825,35.5,28089660.0
4.039850,35.9,29089766.0
5.055371,35.8,30139708.0
6.066161,35.7,31139810.0
7.074034,35.6,32139740.0
8.082919,35.9,33139056.0
9.095249,36.0,34189188.0
